,frequency_1,frequency_2,frequency_3,frequency_4,frequency_5,frequency_6,frequency_7,frequency_8,frequency_9,frequency_10,frequency_11,frequency_12,frequency_13,frequency_14,frequency_15,frequency_16,frequency_17,frequency_18,frequency_19,frequency_20,frequency_21,frequency_22,frequency_23,frequency_24,frequency_25
N,12.0,17.0,26.0,17.0,8.0,24.0,45.0,35.0,27.0,19.0,16.0,23.0,18.0,44.0,36.0,18.0,30.0,22.0,34.0,49.0,42.0,26.0,34.0,36.0,30.0
AJ,2.0,4.0,12.0,5.0,3.0,4.0,6.0,9.0,10.0,9.0,4.0,9.0,5.0,21.0,17.0,13.0,15.0,3.0,16.0,28.0,7.0,17.0,26.0,15.0,24.0
V,1.0,7.0,17.0,4.0,3.0,3.0,17.0,13.0,9.0,14.0,6.0,6.0,1.0,11.0,16.0,5.0,13.0,5.0,21.0,38.0,15.0,18.0,27.0,23.0,36.0
AV,1.0,4.0,6.0,6.0,0.0,3.0,8.0,4.0,4.0,5.0,3.0,4.0,1.0,5.0,6.0,2.0,3.0,6.0,9.0,9.0,4.0,6.0,9.0,8.0,11.0
AT,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PR,0.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
CR,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
CJ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0
PN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
