,Accuracy,F1,Precision,Recall,Detected_num,Total_Num,True_Positive,True_Negative,False_Positive,False_Negative,F1_median,F1_std_dev
Label_1,0.8551724137931034,0.3364864864864865,0.49444444444444446,0.256,65,125,32,712,33,93,0.3351351351351351,0.012891070289418192
Label_2,0.875095785,0.38947906348954725,0.6540029385941336,0.2773333333333334,53,125,34.666666666666664,726.6666666666666,18.333333333333332,90.33333333333333,0.3910614525139665,0.015865807
Label_3,0.8620689655172414,0.3858607330195391,0.5365968305130271,0.30133333333333334,70.33333333333333,125,37.666666666666664,712.3333333333334,32.666666666666664,87.33333333333333,0.3737373737373737,0.03458043
Label_4,0.8620689655172414,0.39977773287532825,0.5330162794951527,0.32,75,125,40,710,35,85,0.396039604,0.024312274090263156
Label_5,0.8639846743295019,0.3717098747683854,0.5534944325989102,0.28,63.333333333333336,125,35,716.6666666666666,28.333333333333332,90,0.3675675675675676,0.009872519
Label_6,0.8747126436934866,0.3765817557075362,0.6580267558528429,0.264,50,125,33,728,17,92,0.3728813559322034,0.051047265
Label_7,0.8636015325670497,0.366408621,0.5507543304153474,0.27466666666666667,62.333333333333336,125,34.333333333333336,717,28,90.66666666666667,0.3684210526315789,0.017662513
Label_8,0.8643678160153256,0.411371323,0.5488278304646464,0.33066666666666666,75.66666666666667,125,41.333333333333336,710.6666666666666,34.333333333333336,83.66666666666667,0.40625,0.018531469078769635
Label_9,0.8708812260536399,0.3907152528174708,0.6077122728958102,0.288,59.333333333333336,125,36,721.6666666666666,23.333333333333332,89,0.3934426229508197,0.015204598647158122
Label_10,0.8716475095938697,0.33845990020688815,0.6516618842659015,0.22933333333333336,44,125,28.666666666666668,729.6666666666666,15.333333333333334,96.33333333333333,0.3373493975903615,0.035997697600311726
Label_11,0.8735632184061303,0.4308803723781942,0.6104497354497355,0.3333333333333333,68.33333333333333,125,41.666666666666664,718.3333333333334,26.666666666666668,83.33333333333333,0.425531915,0.023754161578658124
Label_12,0.8651340995402298,0.3357877713390949,0.5740783744557328,0.2373333333333333,51.666666666666664,125,29.666666666666668,723,22,95.33333333333333,0.3314285714285714,0.021910866714961806
Label_13,0.853639847,0.3788380935093112,0.4847883597883598,0.312,80.33333333333333,125,39,703.6666666666666,41.333333333333336,86,0.3981481481481481,0.056971886
Label_14,0.8716475095785441,0.3762964223858079,0.6250812215724496,0.26933333333333337,54,125,33.666666666666664,724.6666666666666,20.333333333333332,91.33333333333333,0.3798882681564246,0.012264176827795644
Label_15,0.8697318007969349,0.3902433328662836,0.5979997014479773,0.2906666666666667,61,125,36.333333333333336,720.3333333333334,24.666666666666668,88.66666666666667,0.3888888888888889,0.019371401419899972
Label_16,0.872413793,0.37712661335995906,0.633206201,0.26933333333333337,53.333333333333336,125,33.666666666666664,725.3333333333334,19.666666666666668,91.33333333333333,0.367816092,0.017977256481408542
Label_17,0.8593869731800766,0.3768058859896907,0.5187439613526571,0.296,71.33333333333333,125,37,710.6666666666666,34.333333333333336,88,0.3814432989690722,0.016024256588722623
Label_18,0.8555555555249041,0.3891626409017713,0.497334609,0.32,80.66666666666667,125,40,704.3333333333334,40.666666666666664,85,0.4,0.027883074249779902
Label_19,0.8727969348659004,0.41761036089394293,0.6176385566188198,0.3173333333333333,65,125,39.666666666666664,719.6666666666666,25.333333333333332,85.33333333333333,0.417910448,0.004768991
Label_20,0.8624521072030652,0.3646714842351002,0.5428011575552559,0.27466666666666667,63.333333333333336,125,34.333333333333336,716,29,90.66666666666667,0.3664921465968587,0.023388829
Label_21,0.8555555555555555,0.36199101473257206,0.49561403508771934,0.2853333333333333,72,125,35.666666666666664,708.6666666666666,36.333333333333336,89.33333333333333,0.365482234,0.008471698
Label_22,0.8597701149118774,0.37721649484536085,0.5203864734299517,0.296,71,125,37,711,34,88,0.3814432989690722,0.035088368
Label_23,0.8674329501915709,0.42520460701286505,0.5638143269722217,0.3413333333333333,75.66666666666667,125,42.666666666666664,712,33,82.33333333333333,0.4257425742574257,0.012883748
Label_24,0.8739463601532567,0.41589664815471267,0.6265157429091855,0.312,62.666666666666664,125,39,721.3333333333334,23.666666666666668,86,0.4175824175824176,0.015124389496965441
Label_25,0.8724137931034482,0.4514444859762534,0.5907620027657781,0.36533333333333334,77.33333333333333,125,45.666666666666664,713.3333333333334,31.666666666666668,79.33333333333333,0.4554455445544554,0.008964244
